date,month,province,health_zone,zone_id,confirmed_cases,confirmed_deaths,source,source_date,notes
2026-06-06,2026-06,Ituri,Bunia,GPi6i83o7l6,142,14,SitRep N23/MVB_06/06/2026,2026-06-06,Cumulative confirmed cases and deaths by health zone; 94 Ituri cases are unventilated and intentionally excluded from mappable case bubbles
2026-06-06,2026-06,Ituri,Rwampara,vPxN2nZnBXK,98,19,SitRep N23/MVB_06/06/2026,2026-06-06,Cumulative confirmed cases and deaths by health zone; 94 Ituri cases are unventilated and intentionally excluded from mappable case bubbles
2026-06-06,2026-06,Ituri,Mongbwalu,nv8tx681Gjd,92,25,SitRep N23/MVB_06/06/2026,2026-06-06,Cumulative confirmed cases and deaths by health zone; 94 Ituri cases are unventilated and intentionally excluded from mappable case bubbles
2026-06-06,2026-06,Ituri,Nyankunde,mGTaa8TFifO,24,1,SitRep N23/MVB_06/06/2026,2026-06-06,Cumulative confirmed cases and deaths by health zone; 94 Ituri cases are unventilated and intentionally excluded from mappable case bubbles
2026-06-06,2026-06,Ituri,Bambu,Uc3GqWS8C0w,5,2,SitRep N23/MVB_06/06/2026,2026-06-06,Cumulative confirmed cases and deaths by health zone; 94 Ituri cases are unventilated and intentionally excluded from mappable case bubbles
2026-06-06,2026-06,Ituri,Aru,v8PqffapuVl,3,1,SitRep N23/MVB_06/06/2026,2026-06-06,Cumulative confirmed cases and deaths by health zone; 94 Ituri cases are unventilated and intentionally excluded from mappable case bubbles
2026-06-06,2026-06,Ituri,Kilo,sbyWSsdZ3tj,4,1,SitRep N23/MVB_06/06/2026,2026-06-06,Cumulative confirmed cases and deaths by health zone; 94 Ituri cases are unventilated and intentionally excluded from mappable case bubbles
2026-06-06,2026-06,Ituri,Nizi,TCE5waEW7Fi,5,0,SitRep N23/MVB_06/06/2026,2026-06-06,Cumulative confirmed cases and deaths by health zone; 94 Ituri cases are unventilated and intentionally excluded from mappable case bubbles
2026-06-06,2026-06,Ituri,Mangala,,1,0,SitRep N23/MVB_06/06/2026,2026-06-06,Cumulative confirmed cases and deaths by health zone; 94 Ituri cases are unventilated and intentionally excluded from mappable case bubbles
2026-06-06,2026-06,Ituri,Damas,ApdB8z3Wrxt,3,0,SitRep N23/MVB_06/06/2026,2026-06-06,Cumulative confirmed cases and deaths by health zone; 94 Ituri cases are unventilated and intentionally excluded from mappable case bubbles
2026-06-06,2026-06,Ituri,Aungba,DFcltLEKLxj,1,0,SitRep N23/MVB_06/06/2026,2026-06-06,Cumulative confirmed cases and deaths by health zone; 94 Ituri cases are unventilated and intentionally excluded from mappable case bubbles
2026-06-06,2026-06,Ituri,Gety,X8zFJ7DJlRD,1,0,SitRep N23/MVB_06/06/2026,2026-06-06,Cumulative confirmed cases and deaths by health zone; 94 Ituri cases are unventilated and intentionally excluded from mappable case bubbles
2026-06-06,2026-06,Ituri,Komanda,i2mtQy4nTmD,3,0,SitRep N23/MVB_06/06/2026,2026-06-06,Cumulative confirmed cases and deaths by health zone; 94 Ituri cases are unventilated and intentionally excluded from mappable case bubbles
2026-06-06,2026-06,Ituri,Lita,xGWcGHazqtw,4,0,SitRep N23/MVB_06/06/2026,2026-06-06,Cumulative confirmed cases and deaths by health zone; 94 Ituri cases are unventilated and intentionally excluded from mappable case bubbles
2026-06-06,2026-06,Ituri,Logo,qqGoQGSp1Dw,2,0,SitRep N23/MVB_06/06/2026,2026-06-06,Cumulative confirmed cases and deaths by health zone; 94 Ituri cases are unventilated and intentionally excluded from mappable case bubbles
2026-06-06,2026-06,Ituri,Mambasa,RjHZChl5gJQ,2,1,SitRep N23/MVB_06/06/2026,2026-06-06,Cumulative confirmed cases and deaths by health zone; 94 Ituri cases are unventilated and intentionally excluded from mappable case bubbles
2026-06-06,2026-06,Ituri,Rimba,a2aJcbwnjoK,3,0,SitRep N23/MVB_06/06/2026,2026-06-06,Cumulative confirmed cases and deaths by health zone; 94 Ituri cases are unventilated and intentionally excluded from mappable case bubbles
2026-06-06,2026-06,Nord-Kivu,Katwa,woJBeEpIZdy,11,8,SitRep N23/MVB_06/06/2026,2026-06-06,Cumulative confirmed cases and deaths by health zone; 94 Ituri cases are unventilated and intentionally excluded from mappable case bubbles
2026-06-06,2026-06,Nord-Kivu,Beni,msg2MyMGhKv,5,3,SitRep N23/MVB_06/06/2026,2026-06-06,Cumulative confirmed cases and deaths by health zone; 94 Ituri cases are unventilated and intentionally excluded from mappable case bubbles
2026-06-06,2026-06,Nord-Kivu,Butembo,foR0DRLqtdJ,4,2,SitRep N23/MVB_06/06/2026,2026-06-06,Cumulative confirmed cases and deaths by health zone; 94 Ituri cases are unventilated and intentionally excluded from mappable case bubbles
2026-06-06,2026-06,Nord-Kivu,Oicha,zOOAshOz4Cz,2,2,SitRep N23/MVB_06/06/2026,2026-06-06,Cumulative confirmed cases and deaths by health zone; 94 Ituri cases are unventilated and intentionally excluded from mappable case bubbles
2026-06-06,2026-06,Nord-Kivu,Kalunguta,XoJ3dLz68aj,1,1,SitRep N23/MVB_06/06/2026,2026-06-06,Cumulative confirmed cases and deaths by health zone; 94 Ituri cases are unventilated and intentionally excluded from mappable case bubbles
2026-06-06,2026-06,Nord-Kivu,Kyondo,amGiV9h9C2I,1,0,SitRep N23/MVB_06/06/2026,2026-06-06,Cumulative confirmed cases and deaths by health zone; 94 Ituri cases are unventilated and intentionally excluded from mappable case bubbles
2026-06-06,2026-06,Nord-Kivu,Goma,t8tjGKVhkl3,1,0,SitRep N23/MVB_06/06/2026,2026-06-06,Cumulative confirmed cases and deaths by health zone; 94 Ituri cases are unventilated and intentionally excluded from mappable case bubbles
2026-06-06,2026-06,Sud-Kivu,Miti-Murhesa,cXkCT53xxfk,3,1,SitRep N23/MVB_06/06/2026,2026-06-06,Cumulative confirmed cases and deaths by health zone; 94 Ituri cases are unventilated and intentionally excluded from mappable case bubbles
