date,title,source,evidence_type,topic,key_message,details,url,peer_review_status,relevance,r_and_d_stage
2026-06-01,CEPI fast-tracks three Bundibugyo ebolavirus vaccine candidates,CEPI,Institutional R&D update,Vaccine R&D,"CEPI is backing IAVI, Moderna and Oxford/SII vaccine candidates as a portfolio approach for Bundibugyo ebolavirus.","High-priority R&D item: track platform, dose availability, animal data, clinical trial timing, manufacturing and access commitments.",https://cepi.net/cepi-fast-tracks-three-bundibugyo-ebolavirus-vaccine-candidates,Not applicable,Directly relevant to vaccine development and trial readiness.,Preclinical to trial-readiness acceleration
2026-06-01,Oxford Bundibugyo ebolavirus vaccine candidate receives CEPI backing,University of Oxford,Institutional R&D update,Vaccine R&D,Oxford/SII ChAdOx1 Bundibugyo candidate receives CEPI support and aims to move toward trials rapidly.,"Track as a distinct ChAdOx1 platform candidate; relevant for manufacturing scale-up, dose availability and animal-data gap.",https://www.ox.ac.uk/news/2026-06-01-oxford-bundibugyo-ebolavirus-vaccine-candidate-receives-cepi-backing,Not applicable,Candidate-specific development update.,Preclinical/clinical trial preparation
2026-06-01,Moderna and other groups get funding to develop Bundibugyo Ebola vaccine,Reuters,Science news,Vaccine R&D,"CEPI funding package includes Moderna mRNA vaccine development, Oxford/SII and IAVI candidates.","Useful as a rapidly updated secondary source that consolidates funder, developer and amount details; verify against CEPI/Oxford/IAVI primary pages.",https://www.reuters.com/business/healthcare-pharmaceuticals/moderna-partners-with-global-health-coalition-develop-bundibugyo-ebola-vaccine-2026-06-01/,Not peer-reviewed,R&D financing and candidate portfolio.,Preclinical to early clinical
2026-05-28,WHO Technical Advisory Group on therapeutics prioritization for Bundibugyo virus disease,WHO R&D Blueprint,Expert advisory report,Therapeutics R&D,WHO TAG report prioritizes candidate therapeutics and trial considerations for BVD.,"Extract products such as monoclonal antibodies and antivirals, endpoints, ethical criteria and operational feasibility. This is a core source for a therapeutics matrix.",https://www.who.int/teams/blueprint/ebolavirus,Expert report,Directly informs treatment trial prioritization.,Candidate prioritization
2026-05-28,"WHO Technical Advisory Group on candidate vaccine prioritization: meeting report, 19 and 25 May 2026",WHO R&D Blueprint,Expert advisory report,Vaccine R&D,WHO TAG-CVP assessed candidate vaccines for Bundibugyo virus disease.,"Use to update candidate ranking, evidence gaps, expected timelines and conditions for field efficacy assessment.",https://www.who.int/teams/blueprint/ebolavirus,Expert report,Directly informs vaccine trial prioritization.,Candidate prioritization
2026-05-28,Experts convened by WHO advise on candidate treatments and vaccines for BVD,WHO,Expert advisory summary,R&D strategy,WHO convened expert groups to assess potential vaccines and therapeutics for BVD prevention and treatment.,This is the highest-level public summary of R&D recommendations and should be presented prominently in the dashboard.,https://www.who.int/news/item/28-05-2026-experts-convened-by-who-advise-on-candidate-treatments-and-vaccines-for-ebola-disease-caused-by-bundibugyo-virus,Not applicable,R&D strategy and governance.,R&D coordination
2026-05-28,WHO emergency guidance on use of licensed Ebola virus vaccine during Bundibugyo outbreaks,WHO,Guidance,Vaccine policy,WHO published emergency guidance on whether/how licensed Zaire ebolavirus vaccine should be considered during BVD outbreaks.,"Critical policy item because Ervebo is licensed for Zaire ebolavirus disease, not Bundibugyo. The dashboard should track whether use is recommended only in research settings or not recommended for outbreak control.",https://www.who.int/emergencies/situations/ebola-outbreak---drc-2026,Guidance,Policy relevance for cross-protection assumptions.,Policy/guidance
2026-05-27,Cross-reactive Bundibugyo antibody responses after licensed Ebola vaccines,medRxiv,Preprint,Vaccine immunology,Preprint addresses cross-reactive antibody responses to Bundibugyo after licensed Ebola vaccines.,Important for the cross-protection question; interpret cautiously because it is a preprint and immunogenicity may not equal clinical protection.,https://www.medrxiv.org/content/10.64898/2026.05.27.26354223v1,Preprint,Directly relevant to Ervebo/cross-protection debate.,Immunogenicity evidence
2026-05-26,CDC COCA call: Ebola Bundibugyo virus,CDC,Clinical guidance/training,Clinical and diagnostics,"CDC slides summarize clinical recognition, infection control, testing and lack of FDA-licensed Bundibugyo vaccine.","Useful for importation preparedness, differential diagnosis, laboratory biosafety and clinical consultation pathways.",https://www.cdc.gov/coca/media/pdfs/2026/COCA-Call-Slides_05.28.2026.pdf,Not applicable,Clinical public health readiness.,Implementation guidance
2026-05-22,Statement on vaccine efforts relating to the Bundibugyo Ebolavirus outbreak in the DRC,University of Oxford,Institutional R&D update,Vaccine R&D,Oxford Vaccine Group is working with Oxford CBF and Serum Institute to produce and scale ChAdOx1 BDBV candidate doses.,Candidate-specific source for dashboard; later superseded by CEPI backing but remains useful for historical tracking.,https://www.ox.ac.uk/news/2026-05-22-statement-on-vaccine-efforts-relating-to-the-bundibugyo-ebolavirus-outbreak-in-the,Not applicable,Candidate manufacturing and scale-up.,Preclinical/manufacturing
2026-05-22,"Bundibugyo, the rare virus causing a deadly new Ebola outbreak, has no vaccine yet",Gavi VaccinesWork,Science explainer,Vaccine context,Explains current vaccine gap and why existing Ebola vaccine assets may not directly solve BVD.,Useful for communication and background; not a primary research source.,https://www.gavi.org/vaccineswork/bundibugyo-rare-virus-causing-deadly-new-ebola-outbreak-drc-has-no-vaccine-yet,Not peer-reviewed,Vaccine communication and evidence framing.,Background
2026-05-21,What Bundibugyo Ebola vaccines and treatments are under development,Reuters,Science news,Therapeutics and vaccines,"Summarizes candidates including rVSV/BDBV-GP, ChAdOx1 Bundibugyo, mRNA vaccine, MBP134, maftivimab, remdesivir and obeldesivir.",Good secondary source to seed candidate matrices; primary verification is needed for each product.,https://www.reuters.com/business/healthcare-pharmaceuticals/bundibugyo-ebola-vaccines-treatments-development-2026-05-29/,Not peer-reviewed,Consolidated product pipeline overview.,Pipeline overview
2026-05-20,Vaccine experts debate options to combat outbreak of unusual Ebola strain,Science,Science news,Vaccine strategy,Science coverage discusses debate around candidate vaccine options and unusual strain context.,Useful to capture scientific uncertainty and expert debate; should not be used as the sole source for candidate prioritization.,https://www.science.org/content/article/vaccine-experts-debate-options-combat-outbreak-unusual-ebola-strain,Not peer-reviewed,Expert debate and uncertainty.,R&D discussion
2026-05-16,"WHO DON602: Ebola disease caused by Bundibugyo virus, DRC",WHO Disease Outbreak News,Institutional report,Epidemiology,WHO notes past BVD CFRs in Uganda and DRC have ranged approximately 30% to 50%.,"Use for initial epidemiologic parameters and outbreak background, but update case counts using later sources.",https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON602,Not applicable,Parameter context and outbreak background.,Epidemiology
2026-05-01,Analysis of past Ebola outbreaks suggests mortality variability and clinical risk factors,CIDRAP summary of published analysis,Science news / literature summary,Clinical epidemiology,"Past Ebola outbreaks show wide mortality variation by setting and study, emphasizing caution in comparing crude CFRs.","Useful for interpreting current CFR, especially amid changing ascertainment and suspected-case backlogs.",https://www.cidrap.umn.edu/ebola/analysis-past-ebola-outbreaks-suggests-54-death-rate-identifies-hemorrhage-key-risk-factor,Not peer-reviewed summary,CFR interpretation and clinical risk factors.,Background evidence
2026-04-04,Confirming ERVEBO Vaccination to Support Ebola Virus Disease Epidemiology,Emerging Infectious Diseases,Peer-reviewed article,Vaccine epidemiology,Article discusses ERVEBO vaccination confirmation and implications for Ebola epidemiology.,"Not Bundibugyo-specific, but relevant for vaccine documentation, serology and outbreak analytics if ring vaccination or research vaccination is considered.",https://wwwnc.cdc.gov/eid/article/32/4/25-1906_article,Peer-reviewed,Vaccine exposure ascertainment and epidemiological methods.,Background/methods
2025-01-01,Long-term antibody responses to Ebola virus and implications for booster doses,Vaccine,Peer-reviewed article,Vaccine immunology,"Findings suggest strain-specific, slowly declining antibody response after EBOV vaccination.",Not BDBV-specific but relevant to cross-protection and duration-of-protection questions; interpret by species specificity.,https://www.sciencedirect.com/science/article/abs/pii/S0264410X25008345,Peer-reviewed,Antibody persistence and strain specificity.,Background evidence
2023-08-01,The rVSV-EBOV vaccine provides limited cross-protection against Sudan virus in animal models,npj Vaccines,Peer-reviewed article,Cross-protection,rVSV-vectored vaccines may have limited cross-protection across ebolavirus species.,"Supports caution in assuming Zaire ebolavirus vaccine cross-protects against other ebolavirus species, including Bundibugyo.",https://www.nature.com/articles/s41541-023-00685-z,Peer-reviewed,Cross-protection inference.,Animal model/background
2018-11-03,Real-time projections of epidemic transmission and vaccination impact during an Ebola outbreak in eastern DRC,arXiv,Preprint / modelling,Epidemiological modelling,Branching-process and autoregressive projections were used for real-time Ebola outbreak forecasting under response constraints.,"Not Bundibugyo-specific but methodologically relevant for short-term forecasts, final-size projections and response-performance indicators.",https://arxiv.org/abs/1811.01175,Preprint,Forecasting methodology for dashboard extension.,Epidemiological methods
2011-07-15,Vesicular stomatitis virus–based Ebola vaccines with improved cross-protective efficacy,Journal of Infectious Diseases / PMC,Peer-reviewed article,Vaccine platform,"Study showed cross-protection between Ebola species can be achieved under some vaccine designs, but EBOV-GP alone may be insufficient.",Relevant to vaccine-platform rationale and cross-protection limitations.,https://pmc.ncbi.nlm.nih.gov/articles/PMC3203393/,Peer-reviewed,Vaccine platform and cross-protection background.,Preclinical background
2010-04-22,Demonstration of cross-protective vaccine immunity against an emerging pathogenic ebolavirus species,PLOS Pathogens,Peer-reviewed article,Cross-protection,"Demonstrated vaccine-induced protection against heterologous EBOV species in preclinical models, supporting broader vaccine approaches.",Important historical evidence for why cellular immunity and multivalent/broader approaches may matter.,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1000904,Peer-reviewed,Cross-protective vaccine design.,Preclinical background
2010-12-01,"Proportion of Deaths and Clinical Features in Bundibugyo Ebola Virus Infection, Uganda",Emerging Infectious Diseases / PMC,Peer-reviewed article,Clinical epidemiology,Foundational clinical epidemiology paper for the 2007 Bundibugyo outbreak; reported lower CFR than many Zaire ebolavirus outbreaks.,"Use for clinical presentation, CFR prior and comparison with current outbreak; historical context not real-time data.",https://pmc.ncbi.nlm.nih.gov/articles/PMC3294552/,Peer-reviewed,BVD-specific clinical epidemiology.,Historical epidemiology
2005-03-01,The basic reproductive number of Ebola and effects of public health measures: Congo and Uganda,arXiv / Journal of Theoretical Biology,Modelling study,Epidemiological modelling,Estimated R0 for Congo 1995 and Uganda 2000 Ebola outbreaks and impact of control timing.,Historical modelling baseline for intervention-timing sensitivity; not species-specific for current BVD outbreak.,https://arxiv.org/abs/q-bio/0503006,Peer-reviewed version exists,Model assumptions and intervention impact.,Methods background
